#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:56:22 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	466	0.050	543
0.076	437	0.101	543
0.127	410	0.152	543
0.177	392	0.203	543
0.228	375	0.253	542
0.279	368	0.304	543
0.330	361	0.354	543
0.380	362	0.406	542
0.431	369	0.456	542
0.481	380	0.507	542
0.533	397	0.557	544
0.583	416	0.608	543
0.634	439	0.660	543
0.684	467	0.710	543
0.735	496	0.761	542
0.786	526	0.811	544
0.837	553	0.862	544
0.887	577	0.913	543
0.938	595	0.964	542
0.988	606	1.014	542
1.039	613	1.065	542
1.090	613	1.115	543
1.141	607	1.166	543
1.191	595	1.217	543
1.242	579	1.268	543
1.292	556	1.318	544
1.344	532	1.369	542
1.394	501	1.419	544
1.445	471	1.471	543
1.495	444	1.521	544
1.546	418	1.572	543
1.597	398	1.622	543
1.648	382	1.673	543
1.698	372	1.724	541
1.749	364	1.775	542
1.799	364	1.825	542
1.850	369	1.876	543
1.901	383	1.926	543
1.952	398	1.977	543
2.002	417	2.028	543
2.053	441	2.079	542
2.103	468	2.129	541
2.155	496	2.180	543
2.205	524	2.230	542
2.256	551	2.282	543
2.306	573	2.332	542
2.357	591	2.383	542
2.408	603	2.433	543
2.459	610	2.484	543
2.509	612	2.535	543
2.560	604	2.586	543
2.610	593	2.636	543
2.661	573	2.687	544
2.712	553	2.737	543
2.763	529	2.788	542
2.813	500	2.839	542
2.864	472	2.890	543
2.914	445	2.940	543
2.966	419	2.991	542
3.016	400	3.041	544
3.067	387	3.093	544
3.117	376	3.143	541
3.168	369	3.194	542
3.219	370	3.244	543
3.270	377	3.295	543
3.320	386	3.346	544
3.371	404	3.397	542
3.421	424	3.447	543
3.473	445	3.498	542
3.523	472	3.548	542
3.574	498	3.599	542
3.624	524	3.650	541
3.675	548	3.701	542
3.725	569	3.751	541
3.777	585	3.802	542
3.827	599	3.852	543
3.878	605	3.904	544
3.928	605	3.954	544
3.979	598	4.005	543
4.030	587	4.055	546
4.081	571	4.106	544
4.131	550	4.157	544
4.182	526	4.208	544
4.232	502	4.258	543
4.284	475	4.309	542
4.334	450	4.359	543
4.385	426	4.410	543
4.435	408	4.461	543
4.486	393	4.512	543
4.536	383	4.562	541
4.588	376	4.613	542
4.638	378	4.663	541
4.689	381	4.715	541
4.739	391	4.765	541
4.790	407	4.816	543
4.841	425	4.866	540
4.892	447	4.917	542
4.942	472	4.968	542
4.993	496	5.019	543
5.043	524	5.069	543
5.095	547	5.120	543
5.145	567	5.170	543
5.196	582	5.221	543
5.246	593	5.272	543
5.297	601	5.323	544
5.347	600	5.373	542
5.399	593	5.424	543
5.449	584	5.474	544
5.500	567	5.526	543
5.550	550	5.576	544
5.601	526	5.627	543
5.652	500	5.677	543
5.703	475	5.728	543
5.753	451	5.779	541
5.804	429	5.830	544
5.854	411	5.880	542
5.906	398	5.931	544
5.956	387	5.981	541
6.007	381	6.033	542
6.057	381	6.083	541
6.108	387	6.134	543
6.158	397	6.184	542
6.210	413	6.235	541
6.260	429	6.285	544
6.311	451	6.337	544
6.361	475	6.387	542
6.412	500	6.438	543
6.463	523	6.488	544
6.514	546	6.539	541
6.564	564	6.590	543
6.615	579	6.641	544
6.665	590	6.691	544
6.717	596	6.742	544
6.767	597	6.792	543
6.818	591	6.844	544
6.868	581	6.894	543
6.919	563	6.945	543
6.969	545	6.995	542
7.021	523	7.046	542
7.071	501	7.096	540
7.122	477	7.148	544
7.172	453	7.198	543
7.223	434	7.249	543
7.274	415	7.299	544
7.325	402	7.350	541
7.375	391	7.401	543
7.426	386	7.452	543
7.476	387	7.502	542
7.528	393	7.553	543
7.578	402	7.603	544
7.629	415	7.655	543
7.679	433	7.705	542
7.730	455	7.756	543
7.780	476	7.806	542
7.832	500	7.857	541
7.882	522	7.907	543
7.933	543	7.959	543
7.983	560	8.009	542
8.034	574	8.060	543
8.085	588	8.110	543
8.136	592	8.161	543
8.186	591	8.212	543
8.237	584	8.263	543
8.287	576	8.313	543
8.339	559	8.364	544
8.389	544	8.414	544
8.440	523	8.466	542
8.490	500	8.516	543
8.541	477	8.567	542
8.591	456	8.617	543
8.643	435	8.668	543
8.694	419	8.718	543
8.744	406	8.770	541
8.795	396	8.820	541
8.845	391	8.871	543
8.897	392	8.921	542
8.947	397	8.972	542
8.998	406	9.023	542
9.048	419	9.074	541
9.099	436	9.124	543
9.150	458	9.175	542
9.201	477	9.225	543
9.251	500	9.277	543
9.302	521	9.327	542
9.352	542	9.378	543
9.404	559	9.428	543
9.454	574	9.479	543
9.505	583	9.529	542
9.555	589	9.581	542
9.606	588	9.631	542
9.656	581	9.682	543
9.708	571	9.732	543
9.758	557	9.783	542
9.809	540	9.834	543
9.859	520	9.885	543
9.910	497	9.935	544
9.961	478	9.986	543
10.012	456	10.036	542
10.062	438	10.088	543
10.113	422	10.138	542
10.163	411	10.189	542
10.215	400	10.239	541
10.265	396	10.290	543
10.316	397	10.340	542
10.366	402	10.392	543
10.417	412	10.442	542
10.467	425	10.493	544
10.519	442	10.543	543
10.569	461	10.594	543
10.620	481	10.645	543
10.670	503	10.696	544
10.721	522	10.746	543
10.772	539	10.797	543
10.823	558	10.847	542
10.873	569	10.899	543
10.924	579	10.949	543
10.974	583	11.000	542
11.026	583	11.050	543
11.076	577	11.101	542
11.127	568	11.151	542
11.177	554	11.203	543
11.228	538	11.253	544
11.278	518	11.304	543
11.330	497	11.354	541
11.380	478	11.405	541
11.431	457	11.456	542
11.481	440	11.507	543
11.532	426	11.557	542
11.583	414	11.608	544
11.634	405	11.659	541
11.684	401	11.710	543
11.735	401	11.761	542
11.785	406	11.811	543
11.837	414	11.862	542
